a b c d e f g final.parent
Scaffold319_203937 L18 SCFLD319 203937 Scaffold319 Scaffold319_203937 1 1 abaa
Scaffold335_229482 L18 SCFLD335 229482 Scaffold335 Scaffold335_229482 1 1 abab
Scaffold335_229634 L18 SCFLD335 229634 Scaffold335 Scaffold335_229634 1 1 bbba
Scaffold337_269280 L18 SCFLD337 269280 Scaffold337 Scaffold337_269280 1 1 abbb
Scaffold337_269331 L18 SCFLD337 269331 Scaffold337 Scaffold337_269331 1 1 abab
Scaffold337_33940 L18 SCFLD337 33940 Scaffold337 Scaffold337_33940 1 1 bbba
Scaffold35_328233 L18 SCFLD35 328233 Scaffold35 Scaffold35_328233 1 1 abaa
Scaffold35_354766 L18 SCFLD35 354766 Scaffold35 Scaffold35_354766 1 1 abab
Scaffold35_546772 L18 SCFLD35 546772 Scaffold35 Scaffold35_546772 0 0 aaab
Scaffold35_641591 L18 SCFLD35 641591 Scaffold35 Scaffold35_641591 1 1 aaab
Scaffold3683_7488 L18 SCFLD3683 7488 Scaffold3683 Scaffold3683_7488 1 1 bbba
Scaffold370_157811 L18 SCFLD370 157811 Scaffold370 Scaffold370_157811 0 0 abaa
Scaffold370_162994 L18 SCFLD370 162994 Scaffold370 Scaffold370_162994 0 0 abaa
Scaffold370_179785 L18 SCFLD370 179785 Scaffold370 Scaffold370_179785 0 0 abbb
Scaffold370_21430 L18 SCFLD370 21430 Scaffold370 Scaffold370_21430 0 0 abaa
Scaffold370_235954 L18 SCFLD370 235954 Scaffold370 Scaffold370_235954 0 0 abbb
Scaffold370_252840 L18 SCFLD370 252840 Scaffold370 Scaffold370_252840 1 1 abbb
Scaffold370_283126 L18 SCFLD370 283126 Scaffold370 Scaffold370_283126 0 0 abab
Scaffold370_300983 L18 SCFLD370 300983 Scaffold370 Scaffold370_300983 1 1 abab
Scaffold370_63417 L18 SCFLD370 63417 Scaffold370 Scaffold370_63417 0 0 abaa
Scaffold4281_2165 L18 SCFLD4281 2165 Scaffold4281 Scaffold4281_2165 1 1 aaab
Scaffold442_213025 L18 SCFLD442 213025 Scaffold442 Scaffold442_213025 1 1 abaa
Scaffold442_213170 L18 SCFLD442 213170 Scaffold442 Scaffold442_213170 1 1 aaab
Scaffold483_122308 L18 SCFLD483 122308 Scaffold483 Scaffold483_122308 0 0 abab
Scaffold483_196892 L18 SCFLD483 196892 Scaffold483 Scaffold483_196892 1 1 abaa
Scaffold483_209239 L18 SCFLD483 209239 Scaffold483 Scaffold483_209239 1 1 abab
Scaffold483_209380 L18 SCFLD483 209380 Scaffold483 Scaffold483_209380 1 1 bbba
Scaffold50_12265 L18 SCFLD50 12265 Scaffold50 Scaffold50_12265 1 1 abbb
Scaffold50_16221 L18 SCFLD50 16221 Scaffold50 Scaffold50_16221 0 0 abaa
Scaffold50_382795 L18 SCFLD50 382795 Scaffold50 Scaffold50_382795 0 0 abbb
Scaffold50_516987 L18 SCFLD50 516987 Scaffold50 Scaffold50_516987 0 0 aaab
Scaffold50_714145 L18 SCFLD50 714145 Scaffold50 Scaffold50_714145 1 1 bbba
Scaffold50_718641 L18 SCFLD50 718641 Scaffold50 Scaffold50_718641 0 0 aaab
Scaffold568_135590 L18 SCFLD568 135590 Scaffold568 Scaffold568_135590 1 1 abab
Scaffold6_104007 L18 SCFLD6 104007 Scaffold6 Scaffold6_104007 0 0 aaab
Scaffold6_115499 L18 SCFLD6 115499 Scaffold6 Scaffold6_115499 1 1 bbba
Scaffold6_172320 L18 SCFLD6 172320 Scaffold6 Scaffold6_172320 0 0 aaab
Scaffold6_35947 L18 SCFLD6 35947 Scaffold6 Scaffold6_35947 0 0 abaa
Scaffold6_35974 L18 SCFLD6 35974 Scaffold6 Scaffold6_35974 0 0 aaab
Scaffold6_469314 L18 SCFLD6 469314 Scaffold6 Scaffold6_469314 1 1 abbb
Scaffold6_501815 L18 SCFLD6 501815 Scaffold6 Scaffold6_501815 0 0 abaa
Scaffold6_529546 L18 SCFLD6 529546 Scaffold6 Scaffold6_529546 1 1 abab
Scaffold608_60601 L18 SCFLD608 60601 Scaffold608 Scaffold608_60601 1 1 aaab
Scaffold730_52910 L18 SCFLD730 52910 Scaffold730 Scaffold730_52910 1 1 aaab
Scaffold730_52927 L18 SCFLD730 52927 Scaffold730 Scaffold730_52927 1 1 abab
Scaffold744_24731 L18 SCFLD744 24731 Scaffold744 Scaffold744_24731 0 0 abbb
Scaffold744_90216 L18 SCFLD744 90216 Scaffold744 Scaffold744_90216 1 1 abbb
Scaffold744_90374 L18 SCFLD744 90374 Scaffold744 Scaffold744_90374 0 0 aaab
Scaffold744_96975 L18 SCFLD744 96975 Scaffold744 Scaffold744_96975 0 0 abaa
Scaffold744_97002 L18 SCFLD744 97002 Scaffold744 Scaffold744_97002 1 1 aaab
Scaffold902_42216 L18 SCFLD902 42216 Scaffold902 Scaffold902_42216 1 1 abaa
Scaffold902_53932 L18 SCFLD902 53932 Scaffold902 Scaffold902_53932 1 1 aaab
Scaffold902_54031 L18 SCFLD902 54031 Scaffold902 Scaffold902_54031 0 0 abaa
Scaffold905_19804 L18 SCFLD905 19804 Scaffold905 Scaffold905_19804 1 1 aaab
Scaffold905_19934 L18 SCFLD905 19934 Scaffold905 Scaffold905_19934 0 0 abab
Scaffold905_38098 L18 SCFLD905 38098 Scaffold905 Scaffold905_38098 1 1 abaa
Scaffold905_38120 L18 SCFLD905 38120 Scaffold905 Scaffold905_38120 0 0 aaab
Scaffold905_38217 L18 SCFLD905 38217 Scaffold905 Scaffold905_38217 1 1 abab
Scaffold905_56014 L18 SCFLD905 56014 Scaffold905 Scaffold905_56014 0 0 abaa
Scaffold9951_110924 L18 SCFLD9951 110924 Scaffold9951 Scaffold9951_110924 1 1 bbba
Scaffold9951_1482243 L18 SCFLD9951 1482243 Scaffold9951 Scaffold9951_1482243 1 1 aaab
Scaffold9951_1503505 L18 SCFLD9951 1503505 Scaffold9951 Scaffold9951_1503505 1 1 abaa
Scaffold9951_163727 L18 SCFLD9951 163727 Scaffold9951 Scaffold9951_163727 1 1 abbb
Scaffold9951_1827884 L18 SCFLD9951 1827884 Scaffold9951 Scaffold9951_1827884 1 1 abab
Scaffold9951_795903 L18 SCFLD9951 795903 Scaffold9951 Scaffold9951_795903 1 0 aaab
Scaffold9989_1043575 L18 SCFLD9989 1043575 Scaffold9989 Scaffold9989_1043575 0 0 abab
Scaffold9989_1104143 L18 SCFLD9989 1104143 Scaffold9989 Scaffold9989_1104143 0 0 bbba
Scaffold9989_1108309 L18 SCFLD9989 1108309 Scaffold9989 Scaffold9989_1108309 1 1 bbba
Scaffold9989_214632 L18 SCFLD9989 214632 Scaffold9989 Scaffold9989_214632 1 1 abaa
Scaffold9989_679993 L18 SCFLD9989 679993 Scaffold9989 Scaffold9989_679993 0 0 abab
Scaffold9989_722514 L18 SCFLD9989 722514 Scaffold9989 Scaffold9989_722514 1 1 abab
Scaffold9989_722531 L18 SCFLD9989 722531 Scaffold9989 Scaffold9989_722531 0 0 aaab
Scaffold9989_883440 L18 SCFLD9989 883440 Scaffold9989 Scaffold9989_883440 0 0 abab
Scaffold9993_447005 L18 SCFLD9993 447005 Scaffold9993 Scaffold9993_447005 1 1 abab
Scaffold9993_907401 L18 SCFLD9993 907401 Scaffold9993 Scaffold9993_907401 1 1 abbb
Scaffold9993_966679 L18 SCFLD9993 966679 Scaffold9993 Scaffold9993_966679 0 0 abaa
Scaffold10002_1029076 L18 SCFLD10002 1029076 Scaffold10002 Scaffold10002_1029076 0 0 aaab
Scaffold10002_1037180 L18 SCFLD10002 1037180 Scaffold10002 Scaffold10002_1037180 0 0 aaab
Scaffold10002_1073623 L18 SCFLD10002 1073623 Scaffold10002 Scaffold10002_1073623 0 0 abaa
Scaffold10002_1089114 L18 SCFLD10002 1089114 Scaffold10002 Scaffold10002_1089114 1 1 abbb
Scaffold10002_1089144 L18 SCFLD10002 1089144 Scaffold10002 Scaffold10002_1089144 0 0 aaab
Scaffold10002_1107956 L18 SCFLD10002 1107956 Scaffold10002 Scaffold10002_1107956 0 0 aaab
Scaffold10002_1112891 L18 SCFLD10002 1112891 Scaffold10002 Scaffold10002_1112891 0 0 aaab
Scaffold10002_1153205 L18 SCFLD10002 1153205 Scaffold10002 Scaffold10002_1153205 0 0 abaa
Scaffold10002_1267460 L18 SCFLD10002 1267460 Scaffold10002 Scaffold10002_1267460 0 0 abab
Scaffold10002_1327775 L18 SCFLD10002 1327775 Scaffold10002 Scaffold10002_1327775 0 0 abab
Scaffold10002_1339401 L18 SCFLD10002 1339401 Scaffold10002 Scaffold10002_1339401 0 0 abaa
Scaffold10002_1347480 L18 SCFLD10002 1347480 Scaffold10002 Scaffold10002_1347480 0 0 abaa
Scaffold10002_1388200 L18 SCFLD10002 1388200 Scaffold10002 Scaffold10002_1388200 1 1 abab
Scaffold10002_1461508 L18 SCFLD10002 1461508 Scaffold10002 Scaffold10002_1461508 1 0 aaab
Scaffold10002_585922 L18 SCFLD10002 585922 Scaffold10002 Scaffold10002_585922 0 0 aaab
Scaffold10002_589101 L18 SCFLD10002 589101 Scaffold10002 Scaffold10002_589101 0 0 aaab
Scaffold10002_698384 L18 SCFLD10002 698384 Scaffold10002 Scaffold10002_698384 1 1 bbba
Scaffold10002_806014 L18 SCFLD10002 806014 Scaffold10002 Scaffold10002_806014 0 0 abaa
Scaffold10002_838615 L18 SCFLD10002 838615 Scaffold10002 Scaffold10002_838615 0 0 bbba
Scaffold10002_880157 L18 SCFLD10002 880157 Scaffold10002 Scaffold10002_880157 0 0 abab
Scaffold10002_880257 L18 SCFLD10002 880257 Scaffold10002 Scaffold10002_880257 0 0 aaab
Scaffold10002_896982 L18 SCFLD10002 896982 Scaffold10002 Scaffold10002_896982 0 0 abab
Scaffold10002_917149 L18 SCFLD10002 917149 Scaffold10002 Scaffold10002_917149 0 0 abaa
Scaffold10018_1972675 L18 SCFLD10018 1972675 Scaffold10018 Scaffold10018_1972675 0 0 abaa
Scaffold10018_2132479 L18 SCFLD10018 2132479 Scaffold10018 Scaffold10018_2132479 0 0 aaab
Scaffold10018_2382633 L18 SCFLD10018 2382633 Scaffold10018 Scaffold10018_2382633 0 0 abaa
Scaffold10018_2394712 L18 SCFLD10018 2394712 Scaffold10018 Scaffold10018_2394712 0 0 abaa
Scaffold10018_2415233 L18 SCFLD10018 2415233 Scaffold10018 Scaffold10018_2415233 0 0 aaab
Scaffold10018_2415251 L18 SCFLD10018 2415251 Scaffold10018 Scaffold10018_2415251 1 0 abaa
Scaffold10018_2478730 L18 SCFLD10018 2478730 Scaffold10018 Scaffold10018_2478730 0 0 aaab
Scaffold10018_2506325 L18 SCFLD10018 2506325 Scaffold10018 Scaffold10018_2506325 1 1 abab
Scaffold10018_2543476 L18 SCFLD10018 2543476 Scaffold10018 Scaffold10018_2543476 1 1 bbba
Scaffold10018_3125803 L18 SCFLD10018 3125803 Scaffold10018 Scaffold10018_3125803 1 0 aaab
Scaffold10018_3273109 L18 SCFLD10018 3273109 Scaffold10018 Scaffold10018_3273109 0 0 abbb
Scaffold10018_3376311 L18 SCFLD10018 3376311 Scaffold10018 Scaffold10018_3376311 1 1 abbb
Scaffold10018_3376344 L18 SCFLD10018 3376344 Scaffold10018 Scaffold10018_3376344 0 0 abab
Scaffold10018_3376350 L18 SCFLD10018 3376350 Scaffold10018 Scaffold10018_3376350 0 0 aaab
Scaffold10018_3414482 L18 SCFLD10018 3414482 Scaffold10018 Scaffold10018_3414482 0 0 aaab
Scaffold10018_3417703 L18 SCFLD10018 3417703 Scaffold10018 Scaffold10018_3417703 0 0 aaab
Scaffold10018_3433706 L18 SCFLD10018 3433706 Scaffold10018 Scaffold10018_3433706 0 0 aaab
Scaffold10018_3433748 L18 SCFLD10018 3433748 Scaffold10018 Scaffold10018_3433748 1 0 abab
Scaffold10018_3634143 L18 SCFLD10018 3634143 Scaffold10018 Scaffold10018_3634143 0 0 abaa
Scaffold10018_3808216 L18 SCFLD10018 3808216 Scaffold10018 Scaffold10018_3808216 0 0 abaa
Scaffold10018_4200801 L18 SCFLD10018 4200801 Scaffold10018 Scaffold10018_4200801 1 1 abab
Scaffold10018_719300 L18 SCFLD10018 719300 Scaffold10018 Scaffold10018_719300 0 0 aaab
Scaffold10018_753638 L18 SCFLD10018 753638 Scaffold10018 Scaffold10018_753638 1 1 bbba
Scaffold10018_788781 L18 SCFLD10018 788781 Scaffold10018 Scaffold10018_788781 0 0 abaa
Scaffold10018_918361 L18 SCFLD10018 918361 Scaffold10018 Scaffold10018_918361 1 1 abbb
Scaffold14_123144 L18 SCFLD14 123144 Scaffold14 Scaffold14_123144 1 1 aaab
Scaffold14_246379 L18 SCFLD14 246379 Scaffold14 Scaffold14_246379 0 0 abaa
Scaffold14_306465 L18 SCFLD14 306465 Scaffold14 Scaffold14_306465 0 0 aaab
Scaffold14_347718 L18 SCFLD14 347718 Scaffold14 Scaffold14_347718 0 0 aaab
Scaffold14_349844 L18 SCFLD14 349844 Scaffold14 Scaffold14_349844 0 0 aaab
Scaffold14_371307 L18 SCFLD14 371307 Scaffold14 Scaffold14_371307 0 0 aaab
Scaffold14_460526 L18 SCFLD14 460526 Scaffold14 Scaffold14_460526 1 1 abbb
Scaffold14_562034 L18 SCFLD14 562034 Scaffold14 Scaffold14_562034 0 0 aaab
Scaffold14_718276 L18 SCFLD14 718276 Scaffold14 Scaffold14_718276 0 0 abaa
Scaffold14_728232 L18 SCFLD14 728232 Scaffold14 Scaffold14_728232 1 0 aaab
Scaffold14_728256 L18 SCFLD14 728256 Scaffold14 Scaffold14_728256 0 0 abaa
Scaffold14_765645 L18 SCFLD14 765645 Scaffold14 Scaffold14_765645 0 0 aaab
Scaffold176_116211 L18 SCFLD176 116211 Scaffold176 Scaffold176_116211 0 0 bbba
Scaffold176_156433 L18 SCFLD176 156433 Scaffold176 Scaffold176_156433 0 0 bbba
Scaffold176_177628 L18 SCFLD176 177628 Scaffold176 Scaffold176_177628 0 0 abaa
Scaffold176_273164 L18 SCFLD176 273164 Scaffold176 Scaffold176_273164 0 0 aaab
Scaffold176_308024 L18 SCFLD176 308024 Scaffold176 Scaffold176_308024 0 0 aaab
Scaffold176_368002 L18 SCFLD176 368002 Scaffold176 Scaffold176_368002 0 0 aaab
Scaffold176_384199 L18 SCFLD176 384199 Scaffold176 Scaffold176_384199 1 1 abbb
Scaffold176_404911 L18 SCFLD176 404911 Scaffold176 Scaffold176_404911 0 0 aaab
Scaffold176_78958 L18 SCFLD176 78958 Scaffold176 Scaffold176_78958 1 1 bbba
Scaffold176_78971 L18 SCFLD176 78971 Scaffold176 Scaffold176_78971 0 0 abaa
Scaffold176_96518 L18 SCFLD176 96518 Scaffold176 Scaffold176_96518 0 0 aaab
Scaffold33_19567 L18 SCFLD33 19567 Scaffold33 Scaffold33_19567 0 0 abab
Scaffold33_19595 L18 SCFLD33 19595 Scaffold33 Scaffold33_19595 0 0 abaa
Scaffold33_285066 L18 SCFLD33 285066 Scaffold33 Scaffold33_285066 0 0 aaab
Scaffold33_288053 L18 SCFLD33 288053 Scaffold33 Scaffold33_288053 0 0 abab
Scaffold33_371590 L18 SCFLD33 371590 Scaffold33 Scaffold33_371590 0 0 abaa
Scaffold33_422368 L18 SCFLD33 422368 Scaffold33 Scaffold33_422368 0 0 bbba
Scaffold33_429191 L18 SCFLD33 429191 Scaffold33 Scaffold33_429191 0 0 abbb
Scaffold33_460848 L18 SCFLD33 460848 Scaffold33 Scaffold33_460848 0 0 abab
Scaffold33_474203 L18 SCFLD33 474203 Scaffold33 Scaffold33_474203 0 0 abaa
Scaffold33_550736 L18 SCFLD33 550736 Scaffold33 Scaffold33_550736 0 0 aaab
Scaffold33_572097 L18 SCFLD33 572097 Scaffold33 Scaffold33_572097 0 0 bbba
Scaffold33_592247 L18 SCFLD33 592247 Scaffold33 Scaffold33_592247 1 0 abbb
Scaffold33_79580 L18 SCFLD33 79580 Scaffold33 Scaffold33_79580 1 1 abbb
Scaffold33_79599 L18 SCFLD33 79599 Scaffold33 Scaffold33_79599 1 1 abab
Scaffold33_84710 L18 SCFLD33 84710 Scaffold33 Scaffold33_84710 0 0 aaab
Scaffold33_89371 L18 SCFLD33 89371 Scaffold33 Scaffold33_89371 1 1 bbba
Scaffold9923_1084499 L18 SCFLD9923 1084499 Scaffold9923 Scaffold9923_1084499 0 0 bbba
Scaffold9923_1113289 L18 SCFLD9923 1113289 Scaffold9923 Scaffold9923_1113289 1 1 bbba
Scaffold9923_1161695 L18 SCFLD9923 1161695 Scaffold9923 Scaffold9923_1161695 0 0 bbba
Scaffold9923_1278696 L18 SCFLD9923 1278696 Scaffold9923 Scaffold9923_1278696 0 0 bbba
Scaffold9923_1494282 L18 SCFLD9923 1494282 Scaffold9923 Scaffold9923_1494282 0 0 abaa
Scaffold9923_1531422 L18 SCFLD9923 1531422 Scaffold9923 Scaffold9923_1531422 0 0 abaa
Scaffold9923_1610434 L18 SCFLD9923 1610434 Scaffold9923 Scaffold9923_1610434 0 0 abaa
Scaffold9923_1617031 L18 SCFLD9923 1617031 Scaffold9923 Scaffold9923_1617031 0 0 abaa
Scaffold9923_1647069 L18 SCFLD9923 1647069 Scaffold9923 Scaffold9923_1647069 0 0 abaa
Scaffold9923_1692985 L18 SCFLD9923 1692985 Scaffold9923 Scaffold9923_1692985 0 0 aaab
Scaffold9923_1693039 L18 SCFLD9923 1693039 Scaffold9923 Scaffold9923_1693039 1 1 abab
Scaffold9923_1721639 L18 SCFLD9923 1721639 Scaffold9923 Scaffold9923_1721639 0 0 abaa
Scaffold9923_1730003 L18 SCFLD9923 1730003 Scaffold9923 Scaffold9923_1730003 0 0 abab
Scaffold9923_1730013 L18 SCFLD9923 1730013 Scaffold9923 Scaffold9923_1730013 0 0 abaa
Scaffold9923_1734463 L18 SCFLD9923 1734463 Scaffold9923 Scaffold9923_1734463 1 1 abbb
Scaffold9923_1734600 L18 SCFLD9923 1734600 Scaffold9923 Scaffold9923_1734600 0 0 abab
Scaffold9923_1734604 L18 SCFLD9923 1734604 Scaffold9923 Scaffold9923_1734604 0 0 aaab
Scaffold9923_1931328 L18 SCFLD9923 1931328 Scaffold9923 Scaffold9923_1931328 0 0 abab
Scaffold9923_2124784 L18 SCFLD9923 2124784 Scaffold9923 Scaffold9923_2124784 1 1 bbba
Scaffold9923_453528 L18 SCFLD9923 453528 Scaffold9923 Scaffold9923_453528 0 0 abaa
Scaffold9923_489830 L18 SCFLD9923 489830 Scaffold9923 Scaffold9923_489830 0 0 abaa
Scaffold9923_560995 L18 SCFLD9923 560995 Scaffold9923 Scaffold9923_560995 1 1 abbb
Scaffold9923_563446 L18 SCFLD9923 563446 Scaffold9923 Scaffold9923_563446 1 1 abab
Scaffold9923_592595 L18 SCFLD9923 592595 Scaffold9923 Scaffold9923_592595 0 0 aaab
Scaffold9923_725906 L18 SCFLD9923 725906 Scaffold9923 Scaffold9923_725906 0 0 aaab
Scaffold9923_884155 L18 SCFLD9923 884155 Scaffold9923 Scaffold9923_884155 0 0 bbba
Scaffold9945_11331 L18 SCFLD9945 11331 Scaffold9945 Scaffold9945_11331 0 0 abaa
Scaffold9945_1276901 L18 SCFLD9945 1276901 Scaffold9945 Scaffold9945_1276901 0 0 aaab
Scaffold9945_1298430 L18 SCFLD9945 1298430 Scaffold9945 Scaffold9945_1298430 1 1 aaab
Scaffold9945_14448 L18 SCFLD9945 14448 Scaffold9945 Scaffold9945_14448 1 1 abbb
Scaffold9945_197046 L18 SCFLD9945 197046 Scaffold9945 Scaffold9945_197046 0 0 abab
Scaffold9945_272585 L18 SCFLD9945 272585 Scaffold9945 Scaffold9945_272585 1 1 bbba
Scaffold9945_278237 L18 SCFLD9945 278237 Scaffold9945 Scaffold9945_278237 0 0 abab
Scaffold9945_278252 L18 SCFLD9945 278252 Scaffold9945 Scaffold9945_278252 0 0 aaab
Scaffold9945_343381 L18 SCFLD9945 343381 Scaffold9945 Scaffold9945_343381 0 0 abaa
Scaffold9945_375377 L18 SCFLD9945 375377 Scaffold9945 Scaffold9945_375377 1 1 abab
Scaffold9945_557253 L18 SCFLD9945 557253 Scaffold9945 Scaffold9945_557253 1 0 abaa
Scaffold9945_618257 L18 SCFLD9945 618257 Scaffold9945 Scaffold9945_618257 0 0 abaa
Scaffold9945_786884 L18 SCFLD9945 786884 Scaffold9945 Scaffold9945_786884 0 0 abaa
Scaffold9945_836196 L18 SCFLD9945 836196 Scaffold9945 Scaffold9945_836196 0 0 abab
Scaffold9999_106107 L18 SCFLD9999 106107 Scaffold9999 Scaffold9999_106107 0 0 abaa
Scaffold9999_106169 L18 SCFLD9999 106169 Scaffold9999 Scaffold9999_106169 0 0 bbba
Scaffold9999_106208 L18 SCFLD9999 106208 Scaffold9999 Scaffold9999_106208 0 0 abab
Scaffold9999_1075694 L18 SCFLD9999 1075694 Scaffold9999 Scaffold9999_1075694 0 0 aaab
Scaffold9999_1110956 L18 SCFLD9999 1110956 Scaffold9999 Scaffold9999_1110956 1 0 abaa
Scaffold9999_1159292 L18 SCFLD9999 1159292 Scaffold9999 Scaffold9999_1159292 0 0 bbba
Scaffold9999_118123 L18 SCFLD9999 118123 Scaffold9999 Scaffold9999_118123 0 0 abaa
Scaffold9999_1186462 L18 SCFLD9999 1186462 Scaffold9999 Scaffold9999_1186462 1 1 bbba
Scaffold9999_165881 L18 SCFLD9999 165881 Scaffold9999 Scaffold9999_165881 0 0 abaa
Scaffold9999_28510 L18 SCFLD9999 28510 Scaffold9999 Scaffold9999_28510 1 1 bbba
Scaffold9999_285673 L18 SCFLD9999 285673 Scaffold9999 Scaffold9999_285673 1 1 abaa
Scaffold9999_360421 L18 SCFLD9999 360421 Scaffold9999 Scaffold9999_360421 0 0 abab
Scaffold9999_434345 L18 SCFLD9999 434345 Scaffold9999 Scaffold9999_434345 1 1 abab
Scaffold9999_46111 L18 SCFLD9999 46111 Scaffold9999 Scaffold9999_46111 0 0 abab
Scaffold9999_534402 L18 SCFLD9999 534402 Scaffold9999 Scaffold9999_534402 1 0 aaab
Scaffold9999_781928 L18 SCFLD9999 781928 Scaffold9999 Scaffold9999_781928 0 0 abab
Scaffold1001_65046 L19 SCFLD1001 65046 Scaffold1001 Scaffold1001_65046 1 1 aaab
Scaffold1135_10760 L19 SCFLD1135 10760 Scaffold1135 Scaffold1135_10760 1 1 aaab
Scaffold119_230695 L19 SCFLD119 230695 Scaffold119 Scaffold119_230695 0 0 abaa
Scaffold119_343553 L19 SCFLD119 343553 Scaffold119 Scaffold119_343553 0 0 abaa
Scaffold119_357637 L19 SCFLD119 357637 Scaffold119 Scaffold119_357637 1 1 abaa
Scaffold119_427265 L19 SCFLD119 427265 Scaffold119 Scaffold119_427265 0 0 aaab
Scaffold119_511148 L19 SCFLD119 511148 Scaffold119 Scaffold119_511148 1 1 bbba
Scaffold121_59426 L19 SCFLD121 59426 Scaffold121 Scaffold121_59426 1 1 abab
Scaffold1271_43956 L19 SCFLD1271 43956 Scaffold1271 Scaffold1271_43956 1 1 abbb
Scaffold1295_3218 L19 SCFLD1295 3218 Scaffold1295 Scaffold1295_3218 1 1 abaa
Scaffold1303_3597 L19 SCFLD1303 3597 Scaffold1303 Scaffold1303_3597 1 1 abab
Scaffold137_150711 L19 SCFLD137 150711 Scaffold137 Scaffold137_150711 1 1 abaa
Scaffold137_181348 L19 SCFLD137 181348 Scaffold137 Scaffold137_181348 1 1 aaab
Scaffold137_386860 L19 SCFLD137 386860 Scaffold137 Scaffold137_386860 0 0 abaa
Scaffold137_496942 L19 SCFLD137 496942 Scaffold137 Scaffold137_496942 0 0 abaa
Scaffold137_505156 L19 SCFLD137 505156 Scaffold137 Scaffold137_505156 0 0 abaa
Scaffold141_201231 L19 SCFLD141 201231 Scaffold141 Scaffold141_201231 1 1 aaab
Scaffold1516_24486 L19 SCFLD1516 24486 Scaffold1516 Scaffold1516_24486 1 1 aaab
Scaffold1538_18601 L19 SCFLD1538 18601 Scaffold1538 Scaffold1538_18601 1 1 bbba
Scaffold1538_21876 L19 SCFLD1538 21876 Scaffold1538 Scaffold1538_21876 0 0 aaab
Scaffold166_337343 L19 SCFLD166 337343 Scaffold166 Scaffold166_337343 0 0 aaab
Scaffold166_417815 L19 SCFLD166 417815 Scaffold166 Scaffold166_417815 0 0 aaab
Scaffold166_426789 L19 SCFLD166 426789 Scaffold166 Scaffold166_426789 1 1 abbb
Scaffold166_63698 L19 SCFLD166 63698 Scaffold166 Scaffold166_63698 1 1 aaab
Scaffold166_98813 L19 SCFLD166 98813 Scaffold166 Scaffold166_98813 0 0 aaab
Scaffold18_134804 L19 SCFLD18 134804 Scaffold18 Scaffold18_134804 1 1 abbb
Scaffold18_140061 L19 SCFLD18 140061 Scaffold18 Scaffold18_140061 0 0 abbb
Scaffold18_373362 L19 SCFLD18 373362 Scaffold18 Scaffold18_373362 0 0 abaa
Scaffold18_593296 L19 SCFLD18 593296 Scaffold18 Scaffold18_593296 1 1 aaab
Scaffold18_636383 L19 SCFLD18 636383 Scaffold18 Scaffold18_636383 1 0 abbb
Scaffold1859_4270 L19 SCFLD1859 4270 Scaffold1859 Scaffold1859_4270 1 1 aaab
Scaffold192_307452 L19 SCFLD192 307452 Scaffold192 Scaffold192_307452 1 1 abaa
Scaffold192_348332 L19 SCFLD192 348332 Scaffold192 Scaffold192_348332 1 1 abab
Scaffold197_182917 L19 SCFLD197 182917 Scaffold197 Scaffold197_182917 1 1 aaab
Scaffold197_182945 L19 SCFLD197 182945 Scaffold197 Scaffold197_182945 1 1 abab
Scaffold2009_14158 L19 SCFLD2009 14158 Scaffold2009 Scaffold2009_14158 1 1 abab
Scaffold2009_14261 L19 SCFLD2009 14261 Scaffold2009 Scaffold2009_14261 1 1 abaa
Scaffold2031_10019 L19 SCFLD2031 10019 Scaffold2031 Scaffold2031_10019 1 1 abaa
Scaffold2057_13036 L19 SCFLD2057 13036 Scaffold2057 Scaffold2057_13036 1 1 abbb
Scaffold2102_50073 L19 SCFLD2102 50073 Scaffold2102 Scaffold2102_50073 1 1 abbb
Scaffold212_267556 L19 SCFLD212 267556 Scaffold212 Scaffold212_267556 1 1 bbba
Scaffold223_187880 L19 SCFLD223 187880 Scaffold223 Scaffold223_187880 1 1 abaa
Scaffold223_190997 L19 SCFLD223 190997 Scaffold223 Scaffold223_190997 0 0 abaa
Scaffold223_244952 L19 SCFLD223 244952 Scaffold223 Scaffold223_244952 0 0 abaa
Scaffold237_108625 L19 SCFLD237 108625 Scaffold237 Scaffold237_108625 0 0 abaa
Scaffold237_396616 L19 SCFLD237 396616 Scaffold237 Scaffold237_396616 1 1 abaa
Scaffold2567_12862 L19 SCFLD2567 12862 Scaffold2567 Scaffold2567_12862 1 1 abaa
Scaffold27_287610 L19 SCFLD27 287610 Scaffold27 Scaffold27_287610 0 0 aaab
Scaffold27_303133 L19 SCFLD27 303133 Scaffold27 Scaffold27_303133 1 1 aaab
Scaffold27_756052 L19 SCFLD27 756052 Scaffold27 Scaffold27_756052 1 1 abab
Scaffold27_76217 L19 SCFLD27 76217 Scaffold27 Scaffold27_76217 1 1 abaa
Scaffold272_187107 L19 SCFLD272 187107 Scaffold272 Scaffold272_187107 1 1 aaab
Scaffold272_248524 L19 SCFLD272 248524 Scaffold272 Scaffold272_248524 1 1 abab
Scaffold272_274289 L19 SCFLD272 274289 Scaffold272 Scaffold272_274289 0 0 aaab
Scaffold272_274389 L19 SCFLD272 274389 Scaffold272 Scaffold272_274389 0 0 abab
Scaffold272_395238 L19 SCFLD272 395238 Scaffold272 Scaffold272_395238 0 0 aaab
Scaffold272_411055 L19 SCFLD272 411055 Scaffold272 Scaffold272_411055 0 0 aaab
